,user_id,post_title,post_desc
0,6,"
Troubleshooting resources for errors or unexpected results
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Check to see if there is a known usegalaxy.* server issue., If the server was down when you first ran your job, try a rerun once back up. A rerun can also eliminate transient server issues too short in duration to trigger a statuspage warning., Next, start by reviewing the troubleshooting FAQ. Common reasons and solutions for tool errors are explained. Most job errors can be resolved by correcting your input data’s format/content. Others indicate a tool setting/parameter problem. This summary FAQ links to most other support FAQs., If you cannot determine how to fix a data/input problem, search existing Q&A topics, support FAQs, and other Galaxy resources. Someone else may have had the same problem with a posted solution. Many tools will have ongoing usage discussions. The most common data/usage issues have a dedicated FAQ., If you are unsure about how to correct a tool usage problem, review the tool help and prior Q&A., If that is not enough tool usage information to solve your problem, try comparing your analysis methods with those in our tutorials:, If you think you found a software bug, review the issue FAQ and linked known issues to find out if it has already been reported and to learn how to report a new problem:, If you need help after troubleshooting on your own, or would like a suspected bug vetted, please let us know by creating a new post to this site. The more details you include, the more help we can offer. For example: include the exact tool name/version (found at the top of the tool form), input data type/source, error details, screenshots., Thanks! The Galaxy team & community, pinned globally on Nov 27, '18]"
1,-1,"
Welcome to Galaxy Community Help
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, For assistance with a specific Galaxy server please post into appropriate category., closed on Nov 20, '18]"
2,3550,"
How to include new variable modifications which are absent in the list?
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Hi Galaxy team,, I need to include new variable modifications which are absent in the list. Is it possible to add these modifications to Galaxy? Like in the MaxQuant configuration tab?, With best regards,, Arman, Hi @Arman_Kulyyassov,
do you mean to modify some tools in order to include additional options?, Regards, Thank you very much for your reply.
I downloaded MaxQuant (version  1.6.6.0)  to my desktop computer and included two new variable modifications Glyceroyl-Lys (composition H(4) O C(3)) and PhosphoGlyceroyl-Lys (composition H(5) O(6) C(3) P) on the configuration tab. Do you have the same options to include new protein modifications on MaxQuant in Galaxy?
, , Yes,
in that case, you need to open a Pull Request in order to include those modifications in this file tools-galaxyp/macros.xml at master · galaxyproteomics/tools-galaxyp · GitHub 1. Let me know if you need any additional help., Regards, Dear Cristóbal Gallardo,, thank you very much for your offer. Unfortunately, I am not an IT specialist. Please include the following protein modifications to the list of variable modifications:, With best regards,, Arman]"
3,3560,"
Diffbind ‘no diff/ly accessible sites’ error?
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Hello, I’m running a diffbind operation between two conditions from an ATAC-seq experiment with two replicates in each. However, I get an error message resulting in my output files being buggy/red., Warning message:
In Sys.setlocale(“LC_MESSAGES”, “en_US.UTF-8”) :
OS reports request to set locale to “en_US.UTF-8” cannot be honored
6hVC1_peaks_narrowPeak 6hVC1_peaks_narrowPeak  VC  NA raw
6hVC2_peaks_narrowPeak 6hVC2_peaks_narrowPeak  VC  NA raw
6hdTAG2_peaks_narrowPeak 6hdTAG2_peaks_narrowPeak  dTAG  NA raw
6hdTAG3_peaks_narrowPeak 6hdTAG3_peaks_narrowPeak  dTAG  NA raw
converting counts to integer mode
gene-wise dispersion estimates
mean-dispersion relationship
final dispersion estimates
Warning message:
No sites above threshold
Error in pv.getPlotData(DBA, attributes = attributes, contrast = contrast,  :
Unable to plot – no sites within threshold
Calls: dba.plotHeatmap → pv.getPlotData, Does “No sites above threshold” in the error message just suggest that there were no differentially accessible sites (which I was expecting)? If so, why does the output seem to suggest there was an error in the process, rather than just returning an ‘empty’ interval file or some ‘blank’ result? I’m quite new to using diffbind on Galaxy, so I’m not too familiar with the various error messages that might occur. Thank you!, Does “No sites above threshold” in the error message just suggest that there were no differentially accessible sites (which I was expecting)?, Yes, that is what the message means., If so, why does the output seem to suggest there was an error in the process, rather than just returning an ‘empty’ interval file or some ‘blank’ result?, The tool wrapper is around a Bioconductor tool written in R. Trapping errors for these cases usually relies on the output from R, and the same tool/inputs would likely fail with the same message if run directly., I’m quite new to using diffbind on Galaxy, so I’m not too familiar with the various error messages that might occur. Thank you!, No problem! Some tools run in Galaxy will produce more meaningful messages than others. Much depends on how error trapping was implemented in the original 3rd party tool. , The GTN FAQs here can help. Search this page with keywords or error messages:, Collection of tutorials developed and maintained by the w..., And this specific FAQ explains how to find all of the failure details:, Collection of tutorials developed and maintained by the w...]"
4,3560,"
Diffbind error with different replicate numbers
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Hi, I’m running diffbind one some ATAC-sequencing data and have been successful when the number of replicates has been equal between my two conditions, but I get an error message when I have, for example, two replicates in one condition and three in the other condition. Could I be doing something wrong or is Galaxy not configured to carry out a 2-vs-3 (or any non-equal-replicates-between-conditions) diffbind analysis? This is the message I get below:, Warning message:
In Sys.setlocale(“LC_MESSAGES”, “en_US.UTF-8”) :
OS reports request to set locale to “en_US.UTF-8” cannot be honored
Error in data.frame(SampleID = samples, Condition = groups, bamReads = bams,  :
arguments imply diff, Thanks in advance!, If it helps, here is a link to the history in question: the files that were my input are #1-13 and the produced error files are #14-18: Galaxy | Accessible History | 12h-vs-6h-dTAG, Hi @alexbisias, Could I be doing something wrong or is Galaxy not configured to carry out a 2-vs-3 (or any non-equal-replicates-between-conditions) diffbind analysis?, It is the second reason. The way the tool form is designed requires that there is a 1-1 relationship between pairs of peak and read bam inputs, and control bam inputs are optional., Help on the tool form covers more details, this is a summary below. Please scroll down on the tool form to the What it does section for all the help., Specify the Read BAM files used in the Peak calling. The input order of the BAM files for the samples MUST match the input order of the peaks files., If specifying a control BAM file, all samples are required to specify one, see Help section below. The input order of the BAM files for the samples MUST match the input order of the peaks files.]"
5,3562,"
Pre-processing of Single-Cell RNA Data Tutorial Troubleshooting
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, I have worked through the Single-Batch Processing hand-on tutorial three times and consistently get different results than what the tutorial says. After the UMI-tool count (last step of the Single-Batch Processing), the tutorial states there should be 2,140 lines in the matrix and 180 columns, but I am consistently getting 1,972 lines and 50 columns., Is anyone else experiencing this?, Does anyone have any ideas why this is happening? I made sure to use the Tutorial Mode on galaxy, so when I would select the next step it took me to the appropriate tool and version., Hi @swren,
I contacted the people who developed the training; probably they will provide you an answer in a few days., Best regards!]"
6,3559,"
multiple RNA Star jobs waiting to run
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Dear Galaxy Team,, currently there are multiple jobs in my waiting list to run in RNA Star and it is not going on for more than 24h. Is there a problem with the tool?, Hi @Jenny19,, the jobs will run when resources become available. Public servers utilized common resources shared with everyone else working at the same place; please be patient., Regards!]"
7,3544,"
How to improve taxonomic classification resolution of 16S rDNA, nanopore sequencing?
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, I’ve been learning to process my 16S rDNA nanopore sequences with the Galaxy workflow from the tutorial “16S Microbial analysis with Nanopore data” (the data in the tutorial is corrupted by the way)., The sequences I have are from a synthetic community standard, so I know what to look for and at what abundances. Another member of my group has analysed this data with a non-galaxy approach and was able to get genus-level information., My results have been very low resolution in comparison. I have tried Kraken2 with different databases as reference, but would love some help or ideas as to how I could improve my results, ideally to as many genus classifications as possible, or family. Anything would be helpful!!!, Hi @Lid,
currently, we are working on a new tool for that goal Add PathoScope by gallardoalba · Pull Request #1212 · bgruening/galaxytools · GitHub, however, is still not available. It would be great if you could provide me with some details about the pipeline that your colleague followed since it could be useful for us in order to improve the training material., Best regards, Hello,, Unfortunately my colleague used EPI2ME, which is opaque. This is why I am looking into other methods, and they are as well. But great to know there is development about this, sorry I can’t be of more help!, Lydia]"
8,2997,"
Make a repository installable
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Hi everybody. I’m trying to upload my tool in the public tool shed following this guide (not using Planemo): How to publish a tool in the Tool Shed - Galaxy Community Hub 1, In my local instance of Galaxy, in the admin tab I can see the repository but it says that it is not possible to install it, which is confirmed also by the repository tab in the tool shed., I just loaded a tar file with the xml and the python code of the tool, am I missing something else?
Thank you for the help, Hi @Andrea_Furlani,
does it include the .shed.yml file? Could you share the repository link with me?, Regards, Hi, this is the repository link (just a test):, https://toolshed.g2.bx.psu.edu/view/andrea.furlani/infr_test/bf610d149a69 1, It doesn’t include a yml file, just the .py codes and .xml definitions, Hi, I found an error while validating the sys_heatmap.xml file:, I think that it is the problem; I recommend you to use planemo for developing the Galaxy wrapper., Regards, Thank you for the suggestion. I’m using planemo and I solved the error indicated in your reply, but still the lint fails retrieving this message:, Regarding the warnings: I saw that also in other tools already present in the toolshed the version of the requirements is not always indicated and the citation section often is not present or inserted in the help since they are not using bibtex or doi citations types., In the folder there are: tool.py , tool.xml , .shed.yml
Here’s the temporary link to the repository I loaded manually., I found the solution by using the following command for lint:, In this way it will not compile only in presence of errors.]"
9,1484,"
Job failure CutAdapt
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, I keep getting errors when trimming my data with Cutadapt. Please find the error below.
I ran exactly the same thing last week with the galaxy.org server and there it worked., The server could not complete this request. Please verify your parameter settings, retry submission and contact the Galaxy Team if this error persists. A transcript of the submitted data is shown below.
{
“history_id”: “ff75df6a1c92239a”,
“tool_id”: “toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt/4.0+galaxy0”,
“tool_version”: “4.0+galaxy0”,
“inputs”: {
“library|type”: “paired_collection”,
“library|input_1”: {
“values”: [
{
“id”: “72822dfb6c647067”,
“hid”: 21,
“name”: “Paired_List_NAPC2_FASTA”,
“src”: “hdca”,
“tags”: ,
“map_over_type”: “paired”
}
],
“batch”: true
},
“library|r1|cut”: “0”,
“library|r2|cut2”: “0”,
“library|r2|quality_cutoff2”: “”,
“adapter_options|action”: “trim”,
“adapter_options|internal”: “”,
“adapter_options|error_rate”: “0.1”,
“adapter_options|no_indels”: “false”,
“adapter_options|times”: “1”,
“adapter_options|overlap”: “3”,
“adapter_options|match_read_wildcards”: "" "",
“adapter_options|revcomp”: “false”,
“filter_options|discard_trimmed”: “false”,
“filter_options|discard_untrimmed”: “false”,
“filter_options|minimum_length”: “20”,
“filter_options|maximum_length”: “”,
“filter_options|length_R2_options|length_R2_status”: “False”,
“filter_options|max_n”: “”,
“filter_options|pair_filter”: “any”,
“filter_options|max_expected_errors”: “”,
“filter_options|discard_cassava”: “false”,
“read_mod_options|quality_cutoff”: “20”,
“read_mod_options|nextseq_trim”: “0”,
“read_mod_options|trim_n”: “false”,
“read_mod_options|strip_suffix”: “”,
“read_mod_options|shorten_options|shorten_values”: “False”,
“read_mod_options|length_tag”: “”,
“read_mod_options|rename”: “”,
“read_mod_options|zero_cap”: “false”,
“output_selector”: [
“report”
]
}
}, Hi @Jens_Posma,
could you try again by using the tool version 3.7? It is the version available in usegalaxy.org. Perhaps there’s a bug in the last update (version 4.0)., Regards, yes at .org it works fine]"
